,"04/16/20"
"68003",0
"68005",1
"68016",0
"68028",3
"68037",0
"68046",11
"68048",1
"68058",0
"68059",0
"68113",0
"68123",5
"68128",9
"68133",2
"68136",4
"68138",3
"68147",7
"68157",1
"68304",0
"68307",0
"68347",0
"68349",0
"68366",0
"68403",0
"68407",1
"68409",0
"68413",0
"68455",1
"68462",0
"68463",0
