,"04/23/20","04/24/20","04/25/20","04/26/20","04/27/20","04/28/20","04/29/20","04/30/20","05/01/20","05/02/20","05/04/20","05/05/20","05/06/20","05/07/20","05/08/20","05/09/20","05/10/20","05/11/20","05/12/20","05/13/20"
"85715",11,11,15,15,15,13,12,12,12,16,17,17,18,18,19,18,17,17,19,19
"85716",34,37,38,38,39,39,40,40,40,39,41,43,44,47,51,53,53,53,54,54
"85718",25,25,27,27,27,43,44,45,45,45,45,45,46,48,45,45,45,45,45,46
"85719",29,29,32,32,33,40,43,43,47,49,49,50,50,50,51,52,52,52,53,55
"85730",33,34,34,35,36,34,34,35,35,40,38,39,40,42,42,43,45,45,48,48
"85735",1-5,1-5,1-5,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,11,11,11,11,12,12,12
"85736",6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10
"85737",6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10
"85739",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,6-10,6-10,6-10,6-10
"85741",22,25,31,32,32,32,33,38,41,47,49,50,54,54,56,56,58,59,59,61
"85742",13,14,14,14,14,14,14,14,14,14,15,17,17,18,20,21,22,22,22,22
"85743",16,17,19,19,19,19,19,19,19,19,19,20,21,22,24,24,26,27,28,29
"85745",57,57,57,60,62,61,61,61,61,61,65,66,68,69,70,73,72,75,75,78
"85746",53,57,57,61,62,61,61,61,61,63,69,70,73,75,79,83,85,85,87,90
"85747",14,16,16,17,17,15,15,18,17,17,18,20,21,21,21,22,22,22,22,21
"85748",19,21,23,23,24,23,23,23,24,26,25,25,25,29,30,30,30,30,28,29
"85749",11,11,12,12,12,12,12,13,13,13,14,14,14,14,14,14,14,14,14,15
"85750",14,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,19,20,21,21
"85755",6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10
"85756",44,45,44,45,46,47,48,48,50,51,52,54,55,57,60,64,65,66,67,71
"85757",27,29,29,29,31,31,31,32,32,32,34,35,36,37,38,38,41,41,42,42
"85901",6-10,6-10,6-10,6-10,6-10,6-10,11,11,13,14,16,16,15,16,16,16,16,16,17,18
"85911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85920",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85922",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85923",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85924",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85925",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85926",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85927",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85928",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85929",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85931",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85932",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85933",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85934",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85935",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10
"85936",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85937",1-5,1-5,1-5,1-5,1-5,1-5,1-5,6-10,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85938",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85939",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85940",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85942",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86001",15,15,16,18,19,19,20,20,20,21,24,24,25,31,34,42,43,43,45,49
"86004",36,38,38,38,38,40,41,43,45,47,51,51,54,65,79,81,85,82,83,89
"86005",11,11,11,11,11,11,11,12,12,12,14,14,14,15,17,17,18,19,20,20
"86015",0,0,0,0,0,0,0,0,0,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"86016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86017",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"86018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,1-5,1-5,1-5,1-5
"86022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86023",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"86024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86025",12,12,12,11,11,11,11,12,13,14,13,13,13,13,13,13,13,13,13,14
"86029",0,0,0,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"86030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86032",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"86033",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86034",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86036",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86038",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86040",68,70,70,73,72,75,75,75,76,76,82,97,100,107,108,111,118,119,120,139
"86042",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86046",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"86047",68,68,69,63,65,68,69,74,72,73,74,74,74,75,80,76,80,80,83,82
"86052",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86053",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86054",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86301",6-10,6-10,11,11,11,11,11,11,12,13,14,16,20,21,23,25,25,26,29,29
"86303",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"86305",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,11
"86314",6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,11,12,13,13,13,18,23,23,23,25,31,41
"86315",6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,11,11,11,11,11
"86320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,1-5,1-5,1-5,1-5,1-5
"86321",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86322",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10
"86323",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,6-10,6-10,6-10,6-10,6-10,6-10
"86324",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"86325",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"86326",6-10,6-10,6-10,6-10,6-10,6-10,6-10,11,6-10,11,11,41,49,50,52,51,51,51,68,76
"86327",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10
"86329",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86331",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86332",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86333",1-5,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10
"86334",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"86335",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,1-5,1-5,1-5,1-5,1-5
"86336",6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10
"86337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86338",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86343",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86351",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"86401",13,14,17,23,27,28,33,36,39,38,38,40,41,43,47,49,50,50,51,53
"86403",6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,11,11,13,12,13,12,13,12
"86404",6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,11,11,11,12,12,12,12,13,12,12
"86406",6-10,6-10,6-10,6-10,6-10,11,12,11,12,14,13,14,15,16,18,20,20,21,23,24
"86409",13,12,12,13,14,17,15,17,18,18,24,26,26,28,31,32,42,42,46,46
"86411",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86413",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"86426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86429",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5
"86432",0,0,0,0,0,0,0,0,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"86433",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86436",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,1-5,0,0
"86437",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"86438",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86440",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10
"86441",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"86442",6-10,6-10,11,11,11,11,11,15,15,16,17,18,18,18,20,20,20,20,20,20
"86443",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86444",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86445",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86502",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86507",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86515",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86538",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
