,"04/23/20","04/24/20","04/25/20","04/26/20","04/27/20","04/28/20","04/29/20","04/30/20","05/01/20"
"16673",0,0,0,0,0,0,0,0,0
"16674",0,0,0,0,0,0,0,0,0
"16678",0,0,0,0,0,0,NA,NA,NA
"16679",0,0,0,0,0,0,0,0,0
"16680",0,0,0,0,0,0,0,0,0
"16682",0,0,0,0,0,0,0,0,0
"16683",0,0,0,0,0,0,0,0,0
"16685",0,0,0,0,0,0,0,0,0
"16686",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16689",0,0,0,0,0,0,0,0,0
"16691",0,0,0,0,0,0,0,0,0
"16692",0,0,0,0,0,0,0,0,0
"16693",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16695",0,0,0,0,0,0,0,0,0
"16701",0,0,0,0,0,0,0,0,0
"16720",0,0,0,0,0,0,0,0,0
"16724",0,0,0,0,0,0,0,0,0
"16726",0,0,0,0,0,0,0,0,0
"16727",0,0,0,0,0,0,0,0,0
"16729",0,0,0,0,0,0,0,0,0
"16731",0,0,0,0,0,0,0,0,0
"16732",0,0,0,0,0,0,0,0,0
"16734",0,0,0,0,0,0,0,0,0
"16735",5,5,5,5,5,5,6,6,6
"16738",0,0,0,0,0,0,0,0,0
"16740",0,0,0,0,0,0,0,0,0
"16743",0,0,0,0,0,0,0,0,0
"16744",0,0,0,0,0,0,0,0,0
"16745",0,0,0,0,0,0,0,0,0
"16746",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16748",0,0,0,0,0,0,0,0,0
"16749",0,0,0,0,0,0,0,0,0
"16750",0,0,0,0,0,0,0,0,0
"16801",26,26,26,26,26,26,26,26,26
"16802",0,0,0,0,0,0,0,0,0
"16803",8,8,8,8,8,8,8,8,8
"16820",NA,0,0,0,0,0,0,0,0
"16821",0,0,0,0,0,0,0,0,0
"16822",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16823",15,17,18,18,20,25,27,28,28
"16827",8,8,9,9,9,9,9,9,9
"16828",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16829",0,0,0,0,0,0,0,0,0
"16830",5,5,5,5,5,5,5,5,5
"16832",0,0,0,0,0,0,0,0,0
"16833",0,0,0,0,0,0,0,0,0
"16836",0,0,0,0,0,0,0,0,0
"16837",0,0,0,0,0,0,0,0,0
"16838",0,0,0,0,0,0,0,0,0
"16839",0,0,0,0,0,0,0,0,0
"16840",0,0,0,0,0,0,0,0,0
"16841",0,0,0,0,NA,NA,NA,NA,NA
"16844",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16845",0,0,0,0,0,0,0,0,0
"16850",0,0,0,0,0,0,0,0,0
"16852",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16854",0,0,0,0,0,0,0,0,0
"16858",0,0,0,0,0,0,0,0,0
"16859",0,0,0,0,0,0,0,0,0
"16860",0,0,0,0,0,0,0,0,0
"16861",0,0,0,0,0,0,0,0,0
"16863",0,0,0,0,0,0,0,0,0
"16864",0,0,0,0,0,0,0,0,0
"16865",0,0,0,0,0,0,0,0,0
"16866",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16870",7,7,7,7,7,7,7,7,7
"16871",0,0,0,0,0,0,0,0,0
"16872",0,0,0,0,0,0,0,0,0
"16874",0,0,0,0,0,0,0,0,0
"16875",0,0,0,0,0,0,0,0,0
"16876",0,0,0,0,0,0,0,0,0
"16877",0,0,0,0,0,0,0,0,0
"16878",0,0,0,0,0,0,0,0,0
"16879",0,0,0,0,0,0,0,0,0
"16881",0,0,0,0,0,0,0,0,0
"16882",0,0,0,0,0,0,0,0,0
"16901",0,0,0,0,0,0,0,NA,NA
"16912",0,0,0,0,0,0,0,0,0
"16914",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16915",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16917",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16920",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16921",0,0,0,0,0,0,0,0,0
"16922",0,0,0,0,0,0,0,0,0
"16923",0,0,0,0,0,0,0,0,0
"16925",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16926",0,0,0,0,0,0,0,0,0
"16927",0,0,0,0,0,0,0,0,0
"16928",0,0,0,0,0,0,0,0,0
"16929",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16930",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16932",0,0,0,0,0,0,0,0,0
"16933",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16935",0,0,0,0,0,0,0,0,0
"16936",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16937",0,0,0,0,0,0,0,0,0
"16938",0,0,0,0,0,0,0,0,0
"16939",0,0,0,0,0,0,0,0,0
"16940",0,0,0,0,0,0,0,0,0
"16941",0,0,0,0,0,0,0,0,0
"16942",0,0,0,0,0,0,0,0,0
"16943",0,0,0,0,0,0,0,0,0
"16946",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16947",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16948",0,0,0,0,0,0,0,0,0
"16950",0,0,0,0,0,0,0,0,0
"17002",0,0,0,0,0,0,0,0,0
"17003",9,9,9,10,13,14,15,16,19
"17004",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17005",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17006",0,0,0,0,0,0,0,0,0
"17007",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17009",0,0,0,0,0,NA,NA,NA,NA
"17010",NA,NA,NA,NA,0,0,0,0,0
"17011",62,63,63,67,69,69,82,89,89
"17013",25,25,26,27,27,27,28,29,29
"17014",0,0,0,0,0,0,0,0,0
"17015",8,8,8,9,9,10,11,13,13
"17016",NA,NA,NA,NA,NA,NA,5,5,5
"17017",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17018",5,5,5,5,5,5,5,5,5
"17019",11,12,12,12,12,12,13,13,13
"17020",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17021",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17022",27,27,27,30,30,31,32,33,35
"17023",8,8,8,8,8,8,8,8,8
"17024",0,0,0,0,0,0,NA,NA,NA
"17025",8,9,11,11,11,11,11,12,13
"17026",13,13,13,13,13,13,13,13,13
"17028",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17029",0,0,0,0,0,0,0,0,0
"17030",0,0,0,0,0,0,0,0,0
"17032",0,0,0,0,0,0,0,NA,NA
"17033",34,34,36,36,37,38,39,40,40
"17034",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17035",0,0,0,0,0,NA,NA,NA,NA
"17036",28,29,29,30,31,32,31,35,35
"17037",0,0,0,0,0,0,0,0,0
"17038",12,13,13,14,14,14,14,16,17
"17039",NA,NA,NA,NA,0,0,0,0,0
"17040",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17041",NA,NA,NA,NA,0,0,0,0,0
"17042",169,177,184,188,189,193,196,202,208
"17043",NA,NA,NA,NA,NA,5,5,5,5
"17044",14,14,14,14,15,16,17,19,19
"17045",NA,NA,5,5,5,5,5,5,5
"17046",263,277,284,292,295,300,305,308,311
"17047",0,0,0,0,0,0,NA,NA,NA
"17048",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17049",6,6,6,6,6,6,6,6,6
