,"04/23/20","04/24/20","04/25/20","04/26/20","04/27/20","04/28/20","04/29/20","04/30/20","05/01/20"
"17983",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17985",7,7,7,7,7,7,7,8,8
"18011",11,11,11,12,12,12,13,13,13
"18013",51,53,54,55,55,55,56,58,58
"18014",24,25,27,27,27,28,28,30,31
"18015",142,145,147,154,159,161,163,171,176
"18017",254,263,270,276,279,292,300,309,321
"18018",135,142,146,148,148,153,157,159,162
"18020",119,119,120,123,125,126,127,127,129
"18031",46,47,47,47,48,48,48,48,48
"18032",29,30,32,32,32,35,35,37,38
"18034",19,20,20,20,20,20,21,21,22
"18035",0,0,0,0,0,0,0,0,0
"18036",23,26,28,29,29,35,38,39,40
"18037",30,31,32,32,32,33,33,33,34
"18038",5,6,8,8,9,9,10,10,10
"18040",73,76,76,76,77,78,79,81,81
"18041",9,9,9,9,10,11,11,12,12
"18042",296,310,323,326,331,397,420,426,436
"18045",275,279,283,285,289,293,301,306,316
"18049",48,48,48,51,52,53,56,58,59
