,04/08/20
45002,1
45030,5
45052,1
45126,1
45140,1
45202,2
45204,1
45205,5
45206,6
45207,4
45208,12
45209,6
45211,8
45212,20
45213,6
45214,4
45215,10
45216,1
45217,1
45219,5
45220,7
45221,1
45223,3
45224,12
45225,2
45226,3
45227,6
45229,4
45230,4
45231,10
45232,1
45236,1
45237,11
45238,13
45239,2
45240,3
45241,2
45242,4
45243,2
45244,3
45246,4
45247,3
45248,2
45249,3
45251,8
45252,1
45255,3
